userid;hierarchical_MedianCenters
0;IN
1;SA
10;UK
11;NI
12;US
13;SF
14;SF
15;SF
16;SF
17;SF
18;SF
19;SF
2;AS
20;SF
21;SF
22;SF
23;SF
24;US
25;SF
26;US
27;SF
28;US
29;HK
3;US
30;SF
31;TU
32;US
33;SF
34;SF
4;AS
5;US
6;FR
7;BR
8;AE
9;LA
